Healthy State,,,,,,,,,,,,,Damaged State,,,,,,,,,
xl,Pl,xr,Pr,exx_l,eyy_l,exy_l,exx_r,eyy_r,exy_r,,,,xl,Pl,xr,Pr,exx_l,eyy_l,exy_l,exx_r,eyy_r,exy_r
,,,,,,,,,,,,,649,147.15,959,83.385,-63.7,15.7,-14.8,-84,22.2,-10.2
,,,,,,,,,,,,,641,147.15,955,88.29,-72,20.3,3.7,-85.9,18.5,-2.8
,,,,,,,,,,,,,602,147.15,962,137.34,-88.6,15.7,-23.1,-103.4,26.8,-10.2
,,,,,,,,,,,,,578,147.15,944,235.44,-91.4,37.9,-29.5,-126.5,40.6,-17.5
,,,,,,,,,,,,,700,152.055,1002,171.675,-96.9,4.6,9.3,-95.1,20.3,-19.4
,,,,,,,,,,,,,618,152.055,966,107.91,-80.3,16.6,-10.1,-96,20.3,-5.5
,,,,,,,,,,,,,656,152.055,1027,161.865,-81.2,12,0.8,-94.2,22.2,-13
,,,,,,,,,,,,,600,152.055,958,201.105,-105.2,22.2,11,-114.5,29.5,-9.2
,,,,,,,,,,,,,552,156.96,1000,171.675,-71.1,15.7,-37,-114.5,27.7,-13
,,,,,,,,,,,,,666,156.96,975,117.72,-76.6,12,-11.2,-95.1,20.3,-10.2
,,,,,,,,,,,,,639,156.96,914,191.295,-98.8,19.4,-7.4,-118.2,29.5,-14.7
,,,,,,,,,,,,,613,161.865,965,196.2,-82.2,26.8,-29.6,-120,29.5,-12.9
,,,,,,,,,,,,,681,161.865,984,186.39,-83.1,16.6,-18.5,-108.9,30.5,-15.8
,,,,,,,,,,,,,628,161.865,1004,161.865,-85.9,18.5,2.8,-105.2,25.9,-16.7
,,,,,,,,,,,,,670,161.865,1016,191.295,-81.2,12,-10.2,-106.2,23.1,-16.7
,,,,,,,,,,,,,642,161.865,980,152.055,-95.1,10.2,1.9,-106.2,23.1,-11.1
,,,,,,,,,,,,,648,166.77,917,117.72,-99.7,16.6,-7.3,-102.5,22.2,-12.1
